City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,3.97,95,100,3.9,GS,1701041119
1,guerrero negro,27.9769,-114.0611,21.11,51,22,5.07,MX,1701041119
2,sile,41.1754,29.6133,5.32,53,83,1.79,TR,1701041119
3,kodiak,57.79,-152.4072,3.73,93,75,2.06,US,1701041119
4,nguigmi,14.2495,13.1092,27.21,27,39,4.93,NE,1701041120
5,port-aux-francais,-49.35,70.2167,3.51,75,100,7.04,TF,1701041120
6,papatowai,-46.5619,169.4708,14.07,70,99,2.14,NZ,1701041120
7,port mathurin,-19.6833,63.4167,24.7,74,56,7.61,MU,1701041120
8,jinchang,38.4953,102.1739,0.92,44,35,2.86,CN,1701041120
9,leava,-14.3,-178.1667,28.86,77,86,5.98,WF,1701041121
10,concordia,-31.393,-58.0209,23.21,70,2,2.38,AR,1701041121
11,adamstown,-25.066,-130.1015,21.28,86,100,12.54,PN,1701041121
12,ar rutbah,33.0381,40.2848,14.56,38,0,7.8,IQ,1701041121
13,mezhdurechenskiy,59.6,65.9333,-3.2,97,100,3.29,RU,1701041121
14,namibe,-15.1961,12.1522,23.95,70,69,2.34,AO,1701041122
15,olonkinbyen,70.9221,-8.7187,1.07,87,82,7.77,SJ,1701041122
16,najran,17.4924,44.1277,16.36,44,60,0.29,SA,1701041122
17,sweet home,44.3976,-122.7362,11.4,67,0,0.45,US,1701041122
18,badger,64.8,-147.5333,-3.69,88,100,1.54,US,1701041123
19,korsakov,46.6328,142.7813,-5.09,57,60,6.05,RU,1701041123
20,ilulissat,69.2167,-51.1,-0.99,93,100,2.06,GL,1701041123
21,tierra colorada,17.1667,-99.5833,28.31,79,37,1.48,MX,1701041123
22,pemangkat,1.1667,108.9667,26.02,85,100,1.25,ID,1701041124
23,talnakh,69.4865,88.3972,-23.53,97,95,2.42,RU,1701041124
24,qaqortoq,60.7167,-46.0333,-5.65,93,100,1.77,GL,1701041124
25,bredasdorp,-34.5322,20.0403,16.3,80,14,1.14,ZA,1701041124
26,tiksi,71.6872,128.8694,-24.44,100,98,2.86,RU,1701041124
27,bukama,-9.2,25.85,20.72,98,100,1.05,CD,1701041125
28,olenino,56.2092,33.4889,-7.87,89,99,4.91,RU,1701041125
29,udachny,66.4167,112.4,-19.68,99,99,3.3,RU,1701041125
30,balcarce,-37.8462,-58.2552,28.55,49,74,1.79,AR,1701041125
31,invercargill,-46.4,168.35,13.9,75,100,1.79,NZ,1701041126
32,blackmans bay,-43.0167,147.3167,11.52,74,96,3.25,AU,1701041126
33,tuy hoa,13.0833,109.3,23.52,90,94,6.19,VN,1701041126
